수행단계,하위분류,백로그_항목(TASK),산출물
준비/분석,,도커 컨테이너 환경 구성 (스프링+DB+AI서버+웹서버),docker-compose.yml
준비/분석,,데이터베이스 테이블 및 벡터 검색 스키마 생성,DDL 스크립트 / ERD
준비/분석,,백엔드(스프링부트) 프로젝트 초기화 및 패키지 구조 세팅,backend 프로젝트 (헥사고날 패키지)
준비/분석,,프론트엔드(Next.js) 프로젝트 초기화 및 폴더 구조 세팅,frontend 프로젝트 (App Router)
준비/분석,,AI 서버(FastAPI) 프로젝트 초기화 및 제미나이 API 연동,ai 프로젝트 (FastAPI)
준비/분석,,보안 설정 및 JWT 토큰 발급/검증 필터 구현,SecurityConfig / JwtProvider
준비/분석,,웹소켓 실시간 통신 브로커 설정,WebSocketConfig
준비/분석,,공통 에러 처리 핸들러 및 에러 코드 정의,GlobalExceptionHandler / ErrorCode
준비/분석,,개인정보(전화번호/계좌번호 등) 자동 마스킹 유틸 구현,PiiMaskingUtil
준비/분석,,AI 응답 파이프코드 파싱 유틸 구현,TaskCodeParser
준비/분석,,전역 디자인 토큰(색상/폰트/간격) 및 CSS 변수 정의,globals.css / variables.css
설계,,호텔/객실/부서 도메인 모델 설계,Host / Room / Department 모델
설계,,직원/투숙객 세션 도메인 모델 설계,Staff / GuestSession 모델
설계,,요청(태스크) 도메인 모델 및 상태/우선순위 설계,Request 모델 / Status·Priority Enum
설계,,대화 메시지 도메인 모델 설계,Chat / Message 모델
설계,,실시간 알림 발송 도메인 모델 설계,Dispatch 모델
설계,,RAG 지식 항목 및 미답변 질문 도메인 모델 설계,KnowledgeEntry / UnansweredQuestion 모델
설계,,교대 인수인계 브리핑 도메인 모델 설계,HandoverBriefing 모델
설계,,Mock PMS 도메인 모델 설계 (예약/체크인/체크아웃/투숙객 정보),Reservation / GuestProfile 모델
구현,공통,버튼/상태뱃지/모달/로딩스켈레톤 공통 UI 컴포넌트 개발,Button / StatusBadge / Modal 컴포넌트
구현,공통,프론트-백엔드 중계 프록시(BFF) 레이어 구현,route.ts / proxyHandler
구현,공통,로그인 시 JWT 쿠키 발급 처리 (BFF 인증 핸들러),authHandlers.ts
구현,공통,웹서버(Nginx) 리버스 프록시 설정,nginx.conf
구현,공통,공통 API 호출 함수 및 인증 API 함수 구현,client.ts / authAPI.ts
구현,공통,웹소켓 연결/재연결/구독 훅 구현,useWebSocket 훅
구현,공통,인증 상태 관리 훅 및 요청 목록 조회 훅 구현,useAuth / useRequests 훅
구현,공통,대화/요청/관리자 도메인별 API 호출 함수 구현,chatAPI / requestAPI / adminAPI
구현,공통,한국어/영어 정적 다국어 리소스 파일 작성,ko.json / en.json
구현,화면,투숙객 언어 선택 및 객실 인증 화면 개발,G-01 인증 화면
구현,화면,AI 대화(채팅) 화면 개발 (메시지 목록/입력창/말풍선/타이핑 표시),G-02 대화 화면
구현,화면,빠른 요청 패널 화면 개발 (아이콘+텍스트 그리드),G-03 빠른요청 화면
구현,화면,요청 진행 상태 실시간 표시 카드 개발,G-04 상태카드 화면
구현,화면,직원 PIN 코드 로그인 화면 개발,S-01 직원로그인 화면
