Issue Id,Summary,Issue Type,Parent Id,Priority,Start date,Due date,Labels,Description
1,설계/기획,Epic,,,,,,ERD 도메인모델 API스펙 화면설계
2,DB ERD 설계 및 검증,Task,1,Highest,2026-04-27,2026-04-27,설계 Design BE,DB 테이블 및 연관관계 설계
3,API 명세 정의,Task,1,Highest,2026-04-27,2026-04-27,설계 Design Full,엔드포인트 및 DTO 스펙
4,요청/메시지/지식 도메인 모델 설계,Task,1,Highest,2026-04-27,2026-04-27,설계 Design BE,Request / Message / Knowledge
5,직원/투숙객/태스크 도메인 모델 설계,Task,1,Highest,2026-04-28,2026-04-28,설계 Design BE,Staff / Guest / Task
6,객실/부서/인수인계 도메인 모델 설계,Task,1,High,2026-04-28,2026-04-28,설계 Design BE,Room / Department / Handover
7,화면 설계 및 UI 레퍼런스 확정,Task,1,Highest,2026-04-28,2026-04-28,설계 Design FE,와이어프레임 및 컴포넌트 도출
8,인프라 구축,Epic,,,,,,Docker 프로젝트초기화 보안설정 Nginx
9,도커 컨테이너 환경 구성 (스프링/DB/AI/웹),Task,8,Highest,2026-04-29,2026-04-29,인프라 Infra Full,docker-compose.yml 작성
10,스프링부트 프로젝트 초기화 (헥사고날 구조),Task,8,Highest,2026-04-29,2026-04-29,인프라 Infra BE,백엔드 구조 세팅
11,Next.js 프로젝트 초기화 (App Router 구조),Task,8,Highest,2026-04-29,2026-04-29,인프라 Infra FE,프론트엔드 구조 세팅
12,FastAPI AI 서버 초기화 및 제미나이 연동,Task,8,Highest,2026-04-29,2026-04-29,인프라 Infra AI,파이썬 AI 서버 세팅
13,DB 테이블 및 벡터 검색 스키마(pgvector) 생성,Task,8,Highest,2026-04-30,2026-04-30,인프라 Infra BE,DDL 스크립트
14,SecurityConfig 및 JWT 인증 필터 구현,Task,8,Highest,2026-04-30,2026-04-30,인프라 Infra BE,보안 및 토큰 관리
15,WebSocket 실시간 통신 브로커 설정,Task,8,Highest,2026-04-30,2026-04-30,인프라 Infra BE,STOMP 설정
16,공통 에러 핸들러 및 마스킹 유틸 구현,Task,8,High,2026-04-30,2026-04-30,인프라 Infra BE,예외 처리 및 PII 마스킹
17,웹서버 리버스 프록시 설정 (Nginx),Task,8,Highest,2026-04-30,2026-04-30,인프라 Infra Full,HTTPS 및 라우팅 설정
18,공통 (UI/BFF),Epic,,,,,,공통UI BFF프록시 훅 다국어 디자인토큰
19,전역 디자인 토큰(CSS 변수) 정의,Task,18,Highest,2026-05-04,2026-05-04,구현 Feature FE,글로벌 스타일링
20,공통 UI 컴포넌트 개발 (버튼/뱃지/모달),Task,18,Highest,2026-05-04,2026-05-04,구현 Feature FE,재사용 가능한 UI 요소
21,BFF 프록시 레이어 및 인증 핸들러 구현,Task,18,Highest,2026-05-04,2026-05-04,구현 Feature FE,Next.js API 라우트
22,공통 API 호출 함수(fetch wrapper) 구현,Task,18,Highest,2026-05-06,2026-05-06,구현 Feature FE,클라이언트 API 유틸
23,웹소켓 연결/재연결 및 채널 수신 관리 훅 구현,Task,18,Highest,2026-05-06,2026-05-06,구현 Feature FE,실시간 통신 커스텀 훅
24,오프라인 상태 감지 및 액션 이원화 처리 구현,Task,18,High,2026-05-06,2026-05-06,구현 Feature FE,온라인 전용 액션(태스크 수락 등)은 오프라인 시 차단. 오프라인 가능 액션(메모 등)은 IndexedDB 버퍼링 후 복귀 시 동기화
25,정적 다국어 리소스(ko/en) 파일 작성,Task,18,High,2026-05-06,2026-05-06,구현 Feature FE,언어팩 지원
26,인증 (security),Epic,,,,,,Guest 정적QR인증 Staff PIN Admin ID/PW
27,AU: 투숙객 정적 QR 방번호 검증 및 JWT 발급 기능,Task,26,Highest,2026-05-06,2026-05-06,구현 Feature BE,방번호 기반 인증 로직
28,AU: 직원 PIN 검증 및 JWT 발급 기능,Task,26,Highest,2026-05-07,2026-05-07,구현 Feature BE,PIN 로그인 로직
29,AU: 관리자 ID/PW 검증 및 JWT 발급 기능,Task,26,Highest,2026-05-07,2026-05-07,구현 Feature BE,관리자 로그인 로직
30,AU: 역할별 인증 API 엔드포인트 구현,Task,26,Highest,2026-05-07,2026-05-07,구현 Feature BE,REST API 컨트롤러
31,AU: 동일 PIN 다중 기기 동시 접속 제한 기능 구현,Task,26,Highest,2026-05-07,2026-05-07,구현 Feature BE,1코드 1기기 세션 제어
32,AU: 직원 PIN 및 관리자 ID/PW 로그인 화면 개발,Task,26,Highest,2026-05-07,2026-05-07,구현 Feature FE,인증 페이지 뷰
33,가상 PMS (admin/guest),Epic,,,,,,MockPMS 체크인/아웃 투숙객관리
34,PM: 투숙객 체크인 시 GuestSession 생성 기능,Task,33,Highest,2026-05-08,2026-05-08,구현 Feature BE,체크인 처리
35,PM: 투숙객 체크아웃 시 세션 Hard Delete 기능,Task,33,Highest,2026-05-08,2026-05-08,구현 Feature BE,체크아웃 처리
36,PM: 투숙객 관리 API 및 DB 어댑터 구현,Task,33,Highest,2026-05-08,2026-05-08,구현 Feature BE,조회 API 및 영속성
37,PM: Mock PMS 시드 데이터 생성,Task,33,High,2026-05-08,2026-05-08,구현 Feature BE,초기 샘플 데이터
38,PM: 투숙객 관리 화면 개발 (목록/체크인/체크아웃),Task,33,Highest,2026-05-08,2026-05-08,구현 Feature FE,관리자용 투숙객 뷰
39,PM: 투숙객 랜딩 화면 개발 (방번호 자동인증 및 채팅진입),Task,33,Highest,2026-05-08,2026-05-08,구현 Feature FE,고객 진입점
40,대화 (message),Epic,,,,,,고객AI대화 메시지송수신
41,MS: 고객 메시지 전송 기능 구현,Task,40,Highest,2026-05-11,2026-05-11,구현 Feature BE,메시지 발송
42,MS: 고객 대화 내역 조회 기능 구현,Task,40,Highest,2026-05-11,2026-05-11,구현 Feature BE,이력 조회
43,MS: 메시지 관리 API 및 DB 어댑터 구현,Task,40,Highest,2026-05-11,2026-05-11,구현 Feature BE,REST API 및 영속성
44,MS: Python AI 서버 호출용 HTTP 연동 어댑터 구현,Task,40,Highest,2026-05-11,2026-05-11,구현 Feature BE,AI 서비스 통신
45,MS: AI 응답 비동기 처리 및 디바운스 연타 방지 구현,Task,40,Highest,2026-05-12,2026-05-12,구현 Feature BE,메시지 수신 시 즉시 202 응답 후 AI 분석을 비동기 처리. 결과는 WebSocket Push. 연속 전송 시 디바운스로 중복 호출 방지
46,MS: 고객 대화 화면 개발 (메시지 목록/입력/말풍선),Task,40,Highest,2026-05-12,2026-05-12,구현 Feature FE,채팅 UI 렌더링 + 발신자별 말풍선
47,MS: AI 응답 실시간 수신 및 타이핑 스켈레톤 구현,Task,40,Highest,2026-05-12,2026-05-12,구현 Feature FE,WebSocket 수신 + AI 대기 애니메이션 + 메시지 실시간 추가
48,요청 (request),Epic,,,,,,요청접수 태스크생성 상태조회 실시간알림
49,RQ: 고객 요청 접수 기능 구현,Task,48,Highest,2026-05-12,2026-05-12,구현 Feature BE,요청 생성 및 저장
50,RQ: AI JSON 응답 기반 태스크 자동 생성 및 부서 배정 기능,Task,48,Highest,2026-05-12,2026-05-12,구현 Feature BE,AI JSON 응답 파싱 → domain·intent·entities 추출 → Request 테이블에 태스크 자동 생성
51,RQ: 고객 본인 요청 상태 조회 기능,Task,48,Highest,2026-05-12,2026-05-12,구현 Feature BE,상태 확인
52,RQ: 요청 관리 API 및 DB 어댑터 구현,Task,48,Highest,2026-05-13,2026-05-13,구현 Feature BE,REST API 및 영속성
53,RQ: WebSocket 기반 실시간 상태 변경 알림 전송 어댑터,Task,48,Highest,2026-05-13,2026-05-13,구현 Feature BE,이벤트 브로드캐스팅
54,RQ: 고객용 빠른 요청 패널 화면 개발 (그리드),Task,48,Highest,2026-05-13,2026-05-13,구현 Feature FE,템플릿 요청 UI
